,Sentence,Emotion
15461,너무 자주 그래 정말이 친구만 기다리면 짜증이 나,혐오
15462,얘기도 많이 하고 화도 내고 짜증도 내봤지만 소용이 없어,중립
15463,어제 우리 아빠가 또 다쳤어,중립
15464,"술 많이 드시고 넘어지셔서\
 팔을 꿰맸어",중립
15465,"이야기도하고 병원으로 보내 드릴까 싶기도 하고\
 그렇지만\
 말을 안 들으십니까 어떻게 할 수가 없어",슬픔
15466,퇴근한지 얼마나 됐다고 회사에서 또 오라고 그러네,혐오
15467,생각 같아서는 작전 그만두고 싶어 정말 너무 일을 힘들게 시켜,혐오
15468,그러고 싶지만 갈 데가 없어 요즘 같은 힘든 시기에,혐오
15469,친구들과 동생들이 많이 힘이 되고 있어,중립
15470,어제 진짜 무서웠어,공포
15471,"밥 먹다가 깜짝 놀랬어\
 친구가 조금 다쳤어",공포
15472,"지금도 조금은 무서워\
 어제 같은 상황\
 정말 너무 무서워",공포
15473,"많은 사람들이 다친 것 같아\
 어제는 다들 놀랬을 거야",중립
15474,그래야겠지 지금은 괜찮아 상황 봐서 조금 더 진정이 안 되면 한번 병원에가 봐야겠지,중립
15475,나 결국 헤어졌어,슬픔
15476,누가 화장실에 토하고 안 치웠어,혐오
15477,그래 다른 침을 쓰고 상황을 정리 해야겠어,중립
15478,그래야겠어 진정이 안 돼 사람들 정말 지저분해,혐오
15479,그래야겠지 우리가 하기에는 너무 더러워 힘이 부치고,혐오
15480,요즘 허리가 너무 아픈 것 같아,슬픔
15481,응 하루 종일 꼼짝 않고 앉아서 일을 하니까 허리에 너무 무리가 와,슬픔
15482,아니 아직 못 갔어 일도 바쁘고 친구가 병원 다니면서 고생하는 것 같아서,중립
15483,그래 언젠가 시간내서 검사는 받아야겠지 허리가 너무 아프니까,중립
15484,그래 스트레칭도 하고 운동도 조금씩 해야 되겠어,중립
15485,나 어떻게 살지 망했어,슬픔
15486,생활비가 2만 원밖에 없어 살 건 너무 많은데,슬픔
15487,"2만 원 2만 원으로 어떻게 살아\
 너무\
 힘들어",슬픔
15488,"먹을 것도 없어 김치만 조금 있어\
 그걸로 버텨야지 뭐",슬픔
15489,컨디션도 안 좋고 하는 일도 잘 안되고 우울하네,슬픔
15490,"슬럼프가 오는 것 같아 하는 일도 잘 안되고 일은 바쁘고\
 해야 할 것은 너무 많고\
 우울하다",슬픔
15491,"그러고 싶지만 하는 일이 너무 많아 일이 바빠서\
 그럴 여력이 없어",슬픔
15492,룸메이트가 방을 너무 더럽게 쓰기 때문이야,혐오
15493,룸메이트 아는 고등학교 동창인데 이렇게까지 더러울 거라 생각하지 못했어,혐오
15494,나 내일 약속이 있는데 그대로 가도 될까,공포
15495,바이러스가 한창인 지금 강남이야,공포
15496,오래전에 약속이 잡힌 거라 중요한 일도 있고 만나긴 해야 하는데,중립
15497,그래 무섭고 찝찝하니까 그것도 생각해 봐야겠다,공포
15498,유기견 다큐멘터리를 봤는데 책임감 없는 사람 참 너무 하더라,분노
15499,"유기견을 잘 키우다가\
 힘들어지니까 버려지는 내용이야",중립
15500,응 많은 것 같아 정말 안쓰러운 일이지,슬픔
15501,턱없이 부족하고 열악한 환경이야,슬픔
15502,그러니까 강아지만 불쌍해,슬픔
15503,오래만 벌써 다섯 번째 면접이야,슬픔
15504,나는 잘하는 곳이 없나 봐,슬픔
15505,나 결국 남자 친구랑 헤어졌어,슬픔
15506,남자친구가 권태기가 왔다고 잠깐 떨어져 있다고 했어 그래서 나는 그런 줄 알고 그냥 잠깐 떨어져 있었거든 그런데 나중에 알고 보니까 새로운 여자친구가 생겼대,슬픔
15507,3년 전에 선배가 소개시켜 줬어,중립
15508,3년 동안 사귀면서 한 번도 싸운 적이 없었어 그리고 서로 마음이 너무 잘 맞아서 헤어질 거라고 생각 못 했어,슬픔
15509,두 달 정도 됐는데 아직도 실감이 안 나 가만히 앉아 있으면 남자친구가 생각나서 너무 힘들어,슬픔
15510,룸메이트랑 너무 자주 싸우게 돼,혐오
15511,룸메이트가 방을 어지럽히고 방 청소를 안 해 그래서 자꾸 싸움이 돼,혐오
15512,어지럽힌 방을 매번 내가 청소를 하니까 너무 화가 났어 그래서 한 달 전에 룸메이트한테 방 청소 좀 하라고 말을 했더니 며칠동안은 방 청소를 깨끗이 했어 그런데 요새들어서 또 방을 어지럽히고 음식물 쓰레기를 아무데나 버려 너무 화가 나,분노
15513,고등학교 때부터 알던 친구인데 방을 이렇게 더럽게 사용할 줄 몰랐어 알았으면 같이 안 살았을 거야,혐오
15514,나 어떻게 살아야 할까 망했어,슬픔
15515,냉장고 안에 반찬이 조금 있는데 조금 있는 반찬으로 이주를 살아야 하니까 너무 답답해,슬픔
15516,나 면접에서 떨어졌어,슬픔
15517,면접에서 떨어졌다는 이야기를 들으니까 너무 속상해서 동네를 여기저기 돌아다니고 있어,슬픔
15518,부모님께서 면접에 떨어진 걸 아시면 너무 실망하실 거 같아서 아직 말씀 못 들었어 어떻게 말씀 드려야 할지 고민 중이야,슬픔
15519,이번 면접에서는 꼭 합격할 줄 알았는데 떨어지니까 밥맛도 없어서 밥을 안 먹었어,슬픔
15520,약속이 있어서 친구를 기다리는데 아직 안 와,혐오
15521,친구를 기다린지 1시간이 넘었는데 연락도 없고 올 생각을 안 해,혐오
15522,이 친구는 약속을 잡을 때마다 매번 약속 시간에 늦어 그래서 어쩔 때는 화가 나,혐오
15523,약속 시간에 대한 문제를 친구한테 이야기하려고 했는데 이야기 해 봤자 싸움이 될 거 같아서 내가 참았어,혐오
15524,퇴근한지 얼마나 됐다고 회사에서 또 전화 왔어,혐오
15525,요새 일이 너무 많아서 매일 매일 야근하는 것도 너무 힘든데 이번에 또 나한테 새로운 업무를 주겠대 정말 나한테 회사 왜 그런 걸까 너무 일이 많아지니까 힘들어서 회사 다니기 싫어,혐오
15526,회사 안에 내 마음을 털어놓고 이야기할 사람이 아무도 없어 그래서 더 힘들고 지치는 거 같아,슬픔
15527,오늘 갑자기 회사에서 전화 와서 너무 짜증이 났는데 너한테 이야기하고 나니까 마음이 좀 풀렸어 앞으로 힘들고 지칠 때 너한테 이야기할게,중립
15528,우리 아빠 어제 또 다쳤어,중립
15529,술 드시고 계단을 오르다가 넘어졌어 그래서 허리를 다치셔서 병원에 입원 중이죠 너무 속상해,슬픔
15530,다행히도 넘어지면서 허리만 다치셔서 다른 덴 다친 곳이 없으셔 하지만 허리 치료 때문에 당분간 병원에 계셔야 해,슬픔
15531,어제저녁에 엄청 무서웠어,공포
15532,친구랑 식당에서 저녁을 먹는데 갑자기 지진이 일어나서 깜짝 놀랐어 지진 때문에 다치진 않았어,공포
15533,식당 안에서 밥을 먹던 사람들이 있었는데 갑자기 일어난 지진 때문에 밥을 먹던 사람들이 여기저기 넘어졌고 발목을 다쳤어 많이 다친 사람들이 없었어,중립
15534,어제 해피가 세상을 떠났어,슬픔
15535,그저께 저녁에 갑자기 의식을 잃고 쓰러져서 동물 병원에 응급실로 데려갔어 의식을 찾고 좀 나아지나 싶었는데 결국 세상을 떠났어,슬픔
15536,해피 장례식은 가족끼리 잘 치뤘어 해피가이 세상에 없다고 생각하니까 너무 슬펐어,슬픔
15537,집에 들어갔을 때 나를 제일 먼저 반겨주던 해피가 없으니까 너무 허전해 우리 해피 너무 보고 싶어,슬픔
15538,누가 화장실에 토를 하고 안 치웠어,혐오
15539,아침에 일어나서 화장실에 볼일 보러 가는데 화장실 바닥이랑 세면대 토가 있어서 깜짝 놀랐어 토를 보고 나니까 속이 울렁거려,혐오
15540,지금 당장 관리 하시는 분한테 화장실 문제에 대해서 얘기해 드리고 얼른 치워달라고 말씀드려야겠어,중립
15541,유기견 다큐멘터리를 봤는데 책임감 없는 사람들 정말 너무 하더라,분노
15542,사람들이 강아지를 키우다가 중간에 버리는 경우가 엄청 많아져서 유기견 문제가 정말로 심각하 돼,중립
15543,버려지는 강아지 수에 비에서 유기견 보호 시설은 너무나 부족하고 환경은 열악하다,중립
15544,사람들이 깜찍하고 귀여울때 잠깐 키우다가 버리는 경우가 대부분 이래 버려지는 강아지들 너무 불쌍하더라,슬픔
15545,허리가 아픈 거 같아,슬픔
15546,일이 너무 많아서 시간이 없어서 병원에 못 갔어 일을 안 할 수도 없고 난감한 상황이야,슬픔
15547,나 면접에 또 떨어졌어,슬픔
15548,면접에 또 떨어져서 너무 답답해서 공원을 걷고 있어,슬픔
15549,다른 회사 시험 볼 준비를 해야 하는데 다섯 번이나 떨어지고 나니까 자신이 없어,슬픔
15550,아빠 엄마가 실망 하실까봐 말씀 못 드려서 아직은 모르셔서 어떻게 말씀 드려야 할지 걱정이야,슬픔
15551,해피가 어제 세상을 떠났어,슬픔
15552,15년 동안 함께 온 해피가 세상을 떠나고 나니까 다들 허전해 하시고 힘들어 하셔,슬픔
15553,해피의 장례식은 가족끼리 잘 치뤘어 해피가이 세상에 없다고 생각하니까 너무 슬퍼서 한참 울었어,슬픔
15554,집에 들어오면 항상 제일 먼저 꼬리를 치면서 반겨주던 해피가 없으니까 정말 허전해 해피가 너무 보고 싶어,슬픔
15555,회사 안에 내 마음을 터놓고 이야기할 사람이 아무도 없어 그래서 더 힘들고 짜증이 나,슬픔
15556,오늘 회사 일 때문에 너무 화가 나고 짜증이 났었는데 너한테 이야기 하고 나니까 마음이 좀 풀렸어 다음에도 내가 힘들고 짜증 날 때 너한테 이야기할게,중립
15557,나 결국 헤어졌어,슬픔
15558,이제 나한테 실증이 났대 그래서 시간을 갖자고 하더니 바로 헤어지자고 연락이 오더라고,슬픔
15559,친구 소개로 만나게 되었어,중립
15560,3년을 만나면서 한 번도 싸운 적이 없었어 나한테 잘 맞춰 준 사람이 없거든,슬픔
15561,이제 두 달이 다 돼가 근데 마음이 정리가 되질 않아,슬픔
15562,나 면접 또 떨어졌어,슬픔
15563,답답해서 그냥 집에서 나왔어 그리고 그냥 걷고 있어 무작정,슬픔
15564,한 달간이 회사 만 바라보고 준비 했었잖아 이렇게 떨어질지 몰랐어 다른 회사 준비할 여력이 없어 지금,슬픔
15565,부모님께서 무척 궁금해 하시거든 떨어졌다는 말을 못 하겠어 기다리고 계실텐데,슬픔
15566,밥 생각도 없어 이따가 저녁에 부모님 얼굴 뵙고 말씀 드려야 할 텐데 밥도 안 넘어가,슬픔
15567,히피가 어제 세상을 떠났어,슬픔
15568,그저께 밤에 갑자기 쓰러지더니 의식을 터라고 그리고 어젯밤에 갑자기 세상을 떠났어,슬픔
15569,엄마가 제일 힘들어 하셔 가장 예뻐 하셨거든,슬픔
15570,오늘 저녁에 장례식을 할 거야 아빠가 준비하고 계셔,중립
15571,맞아 좋은 곳으로 갔을 거야 우리 애기 행복을 주는 아이 였거든,중립
15572,약속 있어서 나왔는데 친구가 아직도 오지도 않아,혐오
15573,벌써 1시간이나 지났어,혐오
15574,도착하자마자 안 왔길래 연락은 해 봤지 하지만 전화를 안 받아,혐오
15575,늦을 때마다 이야기는 해 봤지 미안하다고 하고 고치겠다고 해 그러고는 또 똑같이 늦고 있어,혐오
15576,생명에는 지장이 없지만 병원에 입원해서 며칠 치료 받으셔야 된대,슬픔
15577,일주일에 다섯 번 이상 드시고 계셔 아무래도 중독이 신 것 같아,슬픔
15578,술 드시고 오실 때마다 엄마가 이야기 내 보셨지 이번엔 가족들이 다 모여서 이야기를 해 봤고,슬픔
15579,퇴근한지 얼마나 됐다고 회사에서 또 연락이 왔어,분노
15580,아무도 계약직 여직원한테 관심이 없어,슬픔
15581,그래도 털어 놓을 사람 있으니까 좋다,중립
15582,어제 저녁에 정말 무서웠어,공포
15583,친구랑 밥 먹다가 갑자기 지진이 난 거야 어제 정말 난리도 아니었어,공포
15584,어제는 정말 놀랐고 지금도 가슴이 아직도 뛰고 있어,공포
15585,이따가 친구 때문에 병원에가 봐야 돼 그때 나도 한번 검진 받아 볼게,중립
15586,화장실에 토해놓고 아무도 안 추웠어,혐오
15587,아마도 지금도 그대로 있는 것 같아,혐오
15588,다른 사람들이 눈치 보여서 못 가겠어,슬픔
15589,어제부터 밥도 못 먹고 있어 메슥거려서,혐오
15590,지난번에도 누가 토해 놓은 걸 관리 하시는 분이 띠 오셨대 또 어떻게 말해,혐오
15591,나 요즘 허리가 아픈 것 같아,슬픔
15592,하루종일 앉아서 하는 일이니까 허리에 무리가 오는 것 같아,슬픔
15593,아니 안 갖고 옆에 친구가 갔다 왔는데 허리디스크라고 주사를 놔 주더라 근데 그 주사가 너무 아파 때,공포
15594,"알아\
 빠르게 치료 받아야 되겠지 하지만 너무 무서워",공포
15595,병원 가기 싫어서 쉬는 시간마다 스트레칭을 하고 있어 조금 덜 아픈 것 같기도 하고,공포
15596,나 어떻게 살지 망했어,슬픔
15597,월급 날이 2주나 남았는데 생활비가 다 떨어져가,슬픔
15598,통장이 딸내미 2만 원 남았는데 그걸로 교통비도 부족해,슬픔
15599,냉장고에 반찬 조금 있고 딸도 조금 있어 한 3일은 버틸 수 있을 것 같아,슬픔
15600,부모님도 요즘 힘들지 돼 나까지 말씀 못 드리게 했어,슬픔
15601,나 내일 약속 있는데 그대로 나가도 될까,공포
15602,강남 여기야 오늘 확진자 나왔대,공포
15603,지난번에도 밀었던 약속이라 또 미룰 수 없어,중립
15604,알았어 강남역 보다는 사람이 많지 않은 곳으로 약속을 받고 볼게,중립
15605,아마 친구도 걱정하고 있을지도 모르겠어 한번 얘기를 꺼내 볼게,중립
15606,유기견 다큐멘터리를 봤는데 무책임한 사람들 때문에 정말 화가 나,분노
15607,유기견 보호소를 촬영 하는 건데 버려진 반려견들이 너무 많았어,슬픔
15608,작년보다 3배는 더 늘어날 때 아무래도 코로나 때문인 것 같아,슬픔
15609,가자 버려진 대부분의 아이들은 성인전 이었어,중립
15610,나 결국 그사람이랑 헤어졌어,슬픔
15611,서로 잠시만 시간을 갖자고 하는 거야 그러더니 결국 헤어지자고 문자가 왔어,슬픔
15612,친구 소개로 만나게 되어 어찌 정말 좋은 사람이었어,중립
15613,3년을 만나면서 한 번도 싸운 적이 없었어 항상 나한테 맞춰 줬지,중립
15614,이제 두 달 되어가 하지만 잊을 수가 없어 잊혀지지가 않아,슬픔
15615,나 면접도 떨어졌어,슬픔
15616,답답해서 그냥 나왔어 지금 무작정 걷고 있고,슬픔
15617,이번 회사가 마지막 회사로써 더이상 준비할 회사도 없어,슬픔
15618,부모님께 말씀 드려야지 걱정하실까봐 말씀도 못 드리고 있어,슬픔
15619,밥 생각도 없어 이따가 부모님이랑 같이 먹으면서 말씀드리려고,슬픔
15620,해피가 어제 세상을 떠났어,슬픔
15621,그저께 밤에 갑자기 의식을 일탈하고 그러더니 어제 끝냈 오늘 감았어,슬픔
15622,엄마가 가장 많이 힘들어 하셔,슬픔
15623,오늘 밤에 진행할 거래 아빠가 지금 준비하고 계셔,중립
15624,알아 좋은 곳으로 갔을 거야 우리에게 큰 행복을 주던 아이 였거든,슬픔
15625,약속이 있어 나왔는데 친구가 오지를 않고 있어,혐오
15626,벌써 1시간째 기다리고 있는 것 같아,혐오
15627,도착하자마자 연락을 해 봤지 전화를 안 받아,혐오
15628,약속 있을 때마다 항상 늦게 오더라고,혐오
15629,늦을 때마다 이야기는 해 왔지 미안하다고 다시는 안 그러겠다고 하더라고,혐오
15630,우리 아빠가 어제 또 다쳤어,슬픔
15631,술 드시고 집에 오시다가 계단에서 넘어지 졌대,슬픔
15632,생명에는 지장이 없으셔 하지만 병원에 입원해서 며칠 치료 받아야 된대,슬픔
15633,일주일에 다섯 번 이상 되시는 것 같아 중독이 신 것 같아,중립
15634,이야기 시즌 해 봤지 엄마도 술 드시고 오실 때마다 얘기를 하시고 하지만 고치겠다고 만 하셔,슬픔
15635,퇴근한지 얼마나 됐다고 회사에서 또 연락이 왔어,혐오
15636,왜 그러겠어 계약직 이니깐 말한 거지,슬픔
15637,얼마나 힘들게 들어간 회사인데 조금만 더 참아 볼 거야,슬픔
15638,회사 사람들은 계약직 여직원한테 아무도 관심을 안 가져,슬픔
15639,그래도 누군가 얘기할 사람이 있어서 좋아,중립
15640,저녁에 진짜 무서웠어,공포
15641,친구랑 약속 있어서 저녁을 먹고 있었는데 갑자기 지진이 난 거야,중립
15642,지금은 지진은 괜찮아 졌지 근데 아직도 놀란 가슴이 진정되지 않아,공포
15643,옆 테이블 사람들은 무서워서 도망치다가 넘어지고 그 와중에 내 친구는 다리까지 피었어,슬픔
15644,그렇지 않아도 이따가 친구 병원 갈 때 같이가 보려고,중립
15645,화장실이 누가 토하고 안 치웠어,혐오
15646,그대로 있겠지 누가 치우게 써 나 화장실도 못 가고 있어,혐오
15647,많이 놀랐지 그리고 다른 층은 눈치 보여서 못 가겠어,혐오
15648,어제는 비유가 상해서 밥도 못 먹었어 물 마시면 화장실 갈까 봐 물도 못 마시고 있어,혐오
15649,며칠 전에 톡 해 놓은 것도 관리하시는 분이 치 오셨대 그런데 어떻게 또 치워 달라고 해,슬픔
15650,나 요즘 허리가 아픈 것 같아,슬픔
15651,맞아 앉아서 일하는 일이니깐 허리에 무리가 오는 것 같아,슬픔
15652,아직 못 가봤어 하지만 옆에서 일하는 친구 갔다 왔는데 허리디스크라고 그랬대,중립
15653,하지 마 옆에 친구가 주사 맞고 왔는데 그게 너무 아파서 아직도 그 고통을 잊을 수가 없대 무서워서 못 가겠어,공포
15654,쉬는 시간마다 스트레칭은 꼭 하고 있어,중립
15655,나 어떻게 살지 망했어,슬픔
15656,월급날이 2주 남았는데 생활비가 똑 떨어졌어,슬픔
15657,통장에 2만 원 남았는데 그거 교통비 해야지,슬픔
15658,냉장고에 반찬 조금이랑 쌀 조금 있더라 하지만 그걸로 일주일도 못 버텨,슬픔
15659,내가 흥청망청 해서 쓴 걸 어떻게 부모님께 손벌리기 했어,슬픔
15660,나 내일 약속 있는데 그대로 나가도 될까,공포
15661,강남역이야 그곳에 확진자 나왔잖아,공포
15662,지난번에도 미뤘던 약속이라 이번에 말을 못 하겠어,중립
15663,알았어 강남역 보자는 사람이 잘 다니지 않는 공원으로 한번 약속을 바꿔 볼게,중립
15664,물론 그 친구도 지금 걱정하고 있겠지 내가 잘 말해 볼게,중립
15665,유기견 다큐멘터리 봤는데 사람들 정말 무책임 하더라,분노
15666,경기도에 있는 유기견 보호소 였거든 그곳에 아이들이 정말 바글바글 했어,슬픔
15667,작년보다 세 배는 들었대,중립
15668,정부 보조금이랑 사람들의 기부금으로 운영이 되고 있대,중립
15669,맞아 버려진아이들 보니까 닭은 성인병 드렸어,중립
15670,나 결국 헤어졌어,슬픔
15671,저번 데이트때 권태기가 왔다고 헤어지지,슬픔
15672,학원 같이 다니던 사이였어,중립
15673,아니 한 번도 싸운 적도 없고 잘 지냈는데 이렇게 됐네,중립
15674,이번 봄에 헤어져 쓰니까 벌써 두 달 정도 됐어,중립
15675,룸메와 너무 자주 싸우게 돼,혐오
15676,음식물 쓰레기를 자꾸 아무데나 버리잖아,혐오
15677,응 저번에 얘기 했는데 하나도 안 바뀌었어,혐오
15678,응 원래 고등학교 동창이었는데 그때는 몰랐는데 이런 버릇이 있더라,중립
15679,이번에 다시 얘기해 보고 그리고 결정 해야겠어,중립
15680,나 면접도 떨어졌어,슬픔
15681,집 앞 놀이터 걷고 있어,슬픔
15682,올해는 끝나서 이제 내년을 준비해야지,중립
15683,아직 차 말씀을 못 들었어 집에 가기가 겁나네,슬픔
15684,아직 안 먹었어 별로 입맛이 없다,중립
15685,나는 잘하는게 없나 봐,슬픔
15686,오늘도 상사한테 완전 깨졌어,슬픔
15687,그래야겠어 맑은 공기 좀 마시고 쉬어야지,중립
15688,아직 일이 많아서 일찍 퇴근 하기는 힘들 것 같네,중립
15689,그렇게 말해 줘서 정말 고맙다,기쁨
15690,해피가 어제 세상을 떠났어,슬픔
15691,응 원래 되게 건강했는데 갑자기 쓰러졌어,슬픔
15692,아니 가족들도 다 충격에 휩싸여 써,중립
15693,응 예쁜 공원에 잘 묻어 줬어,중립
15694,응 위로해 줘서 정말로 고맙다,기쁨
15695,약속이 있어서 친구 기다리고 있는데 아직 안 왔어,혐오
15696,벌써 1시간이나 기다린 것 같아,혐오
15697,응 연락해 봤는데 한 번도 안 받았어,혐오
15698,응 얘는 어렸을 때부터 연락도 잘 안 받고 늦게 와,중립
15699,예전에 되게 잠깐 얘기한 적 있는데 오늘 다시 얘기하려고,중립
15700,우리 아빠가 어제 또 다쳤어,중립
15701,술 마시고 계단에서 넘어졌어,중립
15702,응 생명에는 지장이 없으시고 위험하긴 했지,중립
15703,엄청 자주 드셔 일주일에 다섯 번은 기본이야,중립
15704,가족끼리 얘기 정말 많이 했는데도 하나도 변하지 않으셨어,슬픔
15705,퇴근한지 얼마나 됐다고 회사에서 연락도 왔어,혐오
15706,정말로 이직하고 싶어 너무 다니기 싫어,혐오
15707,정말 많이 생각해봤는데 이직이 쉽지 않아서 고민이 되긴 해,슬픔
15708,아니 털어놓을 사람도 없어서 더 힘든 것 같아,슬픔
15709,응 너라도 있어서 정말 힘이 돼,기쁨
15710,어제저녁에 진짜 무서웠어,공포
15711,친구랑 저녁 먹는데 건물이 흔들려더라고 다행히 다치진 않았는데 친구가 발목을 다쳤어,중립
15712,응 지금은 친구도 많이 나왔어,중립
15713,대피 요령 좀 배워야겠어 같이 있던 사람들도 대부분 안전 했어,중립
15714,응 조금이라도 이상 있으면 병원가 보려고,중립
15715,최근에 권태기도 없고 그런데 싸우는 와중에 헤어지잔 말을 해 버렸네,슬픔
15716,나 결국 헤어졌어,슬픔
15717,내가 요즘 몸매랑 너무 자주 싸우게 돼,슬픔
15718,권태기가 왔대 잠깐 시간 갖자고 하더니 결국에는 헤어지자고 통보가 오더라고,슬픔
15719,"나랑 같이 눈매 추가\
 청소를 하질 않아서 싸우게 된 거야",중립
15720,나만 청소하고 걔는 청소도 하지도 않아,혐오
15721,아니 3년 내내 만나면서 한 번도 싸운 적이 없었거든,슬픔
15722,이제 두 달 다 돼가 잊을 수가 없어,슬픔
15723,나 있잖아 면접에서 떨어졌어,슬픔
15724,응 정말 고생은 했지 내가 지금 근데 결과물은 이렇게 탈락이야,슬픔
15725,부모님은 아직 모르긴 하는데 오늘 집에 들어가서 말씀 드려야지,중립
15726,따로 살기도 힘든게 보증금을 빼 줘야 하거든 아직은 여력이 없어,슬픔
15727,밥은 아직 못 먹었어 내 주제에 무슨 밥이야,슬픔
15728,나 면접도 떨어졌어,슬픔
15729,답답해서 잠깐 나왔어 카페에 앉아 있어,슬픔
15730,정말 잘하는게 없나 봐,슬픔
15731,이번회 상황 보고 준비 때문에 다른 회사 또 준비할 여력이 없어,슬픔
15732,회사에서 혼났어 결제를 올렸는데 너무 못 썼나,혐오
15733,"부모님도 걱정하고 계시지\
 아직 말씀을 못 드렸고",슬픔
15734,고마워 걱정해줘서 3시 시간 되면은 나갔다 오려고,중립
15735,밥도 넘어가질 않아 부모님께 말씀드리고 시작하려니 정말 답답해서,슬픔
15736,고마워 그래도 내 잘못이 있으니까 혼나겠지 잘못이 없었으면 혼내지도 않았을 거야,슬픔
15737,어제 세상을 떠났어,슬픔
15738,응 가족들은 괜찮은데 아직도 좀 후유증이 있지,중립
15739,어제 진행 악서 근데 어떡하지 너무 슬퍼,슬픔
15740,나 결국 남자 친구랑 헤어졌어,슬픔
15741,사귀던 남자 친구가 갑자기 권태기가 왔다고 잠깐 떨어져 있다고 했어 그런데 나중에 알고 보니까 새로운 여자친구가 생겼더라고,슬픔
15742,3년 전에 친한 친구가 소개시켜 줬어,중립
15743,3년 동안 사귀면서 한 번도 싸운 적도 없었고 마음이 너무 잘 맞아서 헤어진다고 생각을 못 했어,슬픔
15744,헤어진지 두 달 정도 됐는데 충격이 너무 커서 다른 사람 만나기도 겁나,슬픔
15745,친구랑 약속이 있어서 기다리고 있는데 친구가 아직 안 와,분노
15746,약속 장소에서 1시간 넘게 기다렸는데 연락도 없고 오지도 않아,분노
15747,나는 잘하는게 없나 봐,슬픔
15748,해피가 어제 세상을 떠났어,슬픔
15749,잘못된 기획안을 내일까지 제출해야 해 아무래도 오늘 야근해야 할 거 같아 너무 힘든 하루야,슬픔
15750,그저께 밤에 갑자기 의식을 잃어버릴더라고 그러고 어젯밤에 끝낸 오늘 못 떴어,슬픔
15751,엄마가 가장 힘들어 하시오,슬픔
15752,지금 아빠가 준비하고 계셔,슬픔
15753,마음은 너무 허전한데 좋은 곳으로 갔을 거라고 서로 위로하고 있어,슬픔
15754,약속이 있어서 친구 기다리고 있는데 아직도 오지도 않고 있네,혐오
15755,기다린지 벌써 1시간이 넘어가고 있어,혐오
15756,도착하자마자 연락을 해 봤지 하지만 전화를 안 받아,혐오
15757,응 요즘엔 더 자주 그러는 것 같아 약속 되면 다 되죠,중립
15758,늦을 때마다 이야기해 봤지 미안하다고 고치겠다고 그만해 그리고 고쳐지지가 않아,중립
15759,우리 아빠가 어제 또 다쳤어,슬픔
15760,술 드시고 집에 오시다가 계단에서 굴러 오셨대,중립
15761,생명에는 지장이 없고 병원에 며칠 입원해서 치료를 받으면 된대,중립
15762,일주일에 다섯 번은 드시는 것 같아 아무래도 중독이 신 것 같고,중립
15763,어제도 모여서 이야기를 해 봤지 하지만 결론은 입원 하시는 길밖에 없어,중립
15764,퇴근한지 얼마나 됐다고 회사에서 또 전화가 왔어,혐오
15765,"내가 계약직이라서 그런 것 같아\
 어쩌겠어",슬픔
15766,내가 얼마나 힘들게 들어온 회사인데 이렇게 그만두고 싶지는 않아,슬픔
15767,다들 계약직 여직원한테 관심이 없어,슬픔
15768,고마워 얘기라도 들어 줘서,중립
15769,진짜 무서웠어,공포
15770,다치진 않았는데 친구랑 밥 먹다가 지진 난 거야 얼마나 놀랐는지 모르겠어,공포
15771,지금은 괜찮아졌어 하지만 놀란 마음은 진정이 되질 않네,공포
15772,주변 테이블에 있던 사람들이 도망치다가 넘어지고 난리도 아니었어 그 와중에 친구는 다리까지 피웠고,공포
15773,그렇지 않아도 이따가 친구랑 같이 병원가 보려고,중립
15774,나 이번 면접에 또 떨어졌어,슬픔
15775,나 내일 약속 있는데 그대로 나가도 될까,공포
15776,강남역이야 그곳에서 확진자 나왔대,공포
15777,지난번에도 밀었던 약속이라 이번에 미루면 친구한테 미안해 줘,슬픔
15778,좋은 생각이다 강남역은 사람이 많이 다니니깐 한적한 공원으로 한번 옮겨 보는게 좋겠어,중립
15779,알았어 이야기를 좀 해봐야 되겠어,중립
15780,부모님께서 너무 실망 하실까 봐 아직 말씀 못 드렸어 어떻게 말씀드렸지 걱정이야,슬픔
15781,이번에는 꼭 합격할 줄 알았는데 떨어지니까 밥맛도 없어,슬픔
15782,어제 해피가 세상을 떠났어,슬픔
15783,누가 기숙사 화장실에 토해 놓고 안 치웠어,혐오
15784,안 가봐서 모르겠지만 그대로 있지 않을까,중립
15785,나 그냥 참고 있어 다른 층은 눈치 보여서 못 가겠어,혐오
15786,물 마시면 화장실 가고 싶을까 봐 참고 있어 그리고 잊어버릴 수가 없어 자꾸 생각나,혐오
15787,며칠 전에도 그 분이 지으셨다는 또 말씀드리기가 어려워,중립
15788,15년 동안 함께한 해피가 갑자기 세상을 떠나서 다들 슬퍼 하시고 어쩔 줄 몰라 하셔,슬픔
15789,괜히 매일 우울한 기분이 들어,슬픔
15790,잘 모르겠어 아무래도 슬럼프에 빠진 것 같아,슬픔
15791,집에 들어가면 항상 나를 먼저 반겨주던 해피가 없으니까 너무 허전해 우리 해피 좋은 곳으로 가서 잘 살았으면 좋겠어,슬픔
15792,그런가봐 갑자기 잘 되던 프로젝트도 잘 되지도 않고 요즘 매일 기분 이렇게 우울해,슬픔
15793,아무것도 안 하는 시간은 더 우울해 취미를 뭘로 가지면 될까 지금 생각 중이긴 해,슬픔
15794,우리 해피 데리고 산책이나 해야 될 것 같아 좋은 생각이야,중립
